CAMW 2001,The American West,"Students tour the cultural, social, and natural features of the American West, based on readings and presentations by guest speakers from the CU faculty and from important professions and positions in the West. Designed as the foundation course in the Western American Studies certificate program."
CAMW 3939,Center of the American West Internship,"Work for public and private organizations on projects that enhance the understanding of various Western American topics and issues (environmental, cultural, public policy, etc.), and which foster students' development as community leaders working for a sustainable West. "
CAMW 4001,Seminar on the American West,"Interdisciplinary capstone seminar for the Western American Studies certificate program. Applies a selected natural science, social science, or humanities topic to the American West and addresses how westerners can make and sustain viable landscapes and communities. "
CAMW 4840,Independent Study: The American West,
