BPOL 6940,Master's Candidate for Degree,
BPOL 6950,Master's Thesis,
BPOL 7500,Doctoral Seminar: Strategic Management 1,"Provides an overview of the literature, including classic articles and books, in business strategy andpolicy (strategic management). Brings the student up to date on schools of thought, research issues, and practical applications in strategic management."
BPOL 7530,Doctoral Seminar: Strategic Management 2,Continuation of BPOL 7500.
BPOL 7560,"Entrepreneurship, International Business and Technology Management","Provides doctoral students with an understanding of strategic management and entrepreneurship theory, as applied to international business and technology management literatures. Additionally, students are exposed to research methods in the strategy and entrepreneurship arenas."
BPOL 8900,Independent Study,Requires consent of instructor under whose direction study is taken. Departmental form required.
BPOL 8990,Doctoral Dissertation,
