EDEN 4147,A Systems Approach to Global Engineering,"Introduces engineering students to the global context in which engineers are asked to operate in the 21st century using system dynamics tools and other decision-making tools (network analysis, agent based modeling, etc.) necessary to analyze the uncertainty and complexity inherent in global projects. "
EDEN 5001,Special Topics in Global Engineering,"At the graduate level, covers topics of interest in global engineering. Content varies by section and from semester to semester. "
EDEN 5147,A Systems Approach to Global Engineering,"Introduces engineering students to the global context in which engineers are asked to operate in the 21st century using system dynamics tools and other decision-making tools (network analysis, agent based modeling, etc.) necessary to analyze the uncertainty and complexity inherent in global projects. "
