SEWL 1020,Topics-Social Sciences 1,
SEWL 2000,"America, the Environment, and the Global Economy",Examines the debate over globalization and the global environmental crisis. Does increasing global economic development threaten to undermine the environment? What role should America play in the development of a sustainable economy? 
SEWL 2020,Civic Engagement,"Explores the concept of citizenship through readings, discussion, and service-learning. Working with Sewall faculty mentors, students discuss citizenship and related topics and learn concretely about aspects of the larger community by choosing a local community organization, becoming actively involved in its programs, and presenting their work at a culminating symposium. "
