EHON 1151,Critical Encounters,"Explores critical, literary and philosophical approaches to the following related problems: 1) how we organize knowledge and construct meaning, and 2) how we locate a sense of self as both individuals and members of various groups amidst the resources and demands of competing interpretations, traditions challenges and circumstances. Department restriction, honors standing or instructor consent required."
EHON 1500,Honors Reading Group,"Faculty led reading seminars, focusing on specific test or texts chosen by the faculty. Special attention will be paid to group formation and the process of collaborative learning."
EHON 3843,Special Topics,Explores different important themes relative to the Engineering Honors Program. Check with department for specific semester topics. 
EHON 4051,Dimensions of Leadership,"Explores the many dimensions of leadership that exceed technical knowledge: the ethical, societal, cultural, interpersonal, and personal. Through seminars, workshops and exposure to leaders, students will reflect upon their engineering education in light of the multifaceted demands of effective leadership and their own personal career goals. Students will take an active role in shaping the course. Department restriction, honors standing or instructor consent required. "
